DAM1;LMGI;Emmet;Cicerone;8.05
DAM1;LMGI;Ring;Dunbabin;1.87
DAM1;LMGI;Arline;Boice;6.03
DAM1;LMGI;Jacynth;Osbaldeston;6.91
DAM1;LMGI;Sherwood;Fowler;5.86
DAM1;LMGI;Beniamino;Feldmus;9.69
DAM1;LMGI;Melessa;Hamper;2
DAM1;LMGI;Chrysa;Gatecliffe;0.18
DAM1;LMGI;Demetris;Sherston;7.37
DAM1;LMGI;Myca;Horribine;1.14
DAM1;LMGI;Atlanta;Collcott;5.15
DAM1;LMGI;Beitris;MacLise;0.68
DAM1;LMGI;Fanchon;Yanson;9.15
DAM1;LMGI;Kelby;Rings;2.72
DAM1;LMGI;Domingo;Shrive;6.09
DAM1;LMGI;Ethelbert;Randleson;5.32
DAM1;LMGI;Augie;Kroger;5.77
DAM1;LMGI;Pepillo;Heaphy;0.08
DAM1;LMGI;Eddie;Gout;2.91
DAM1;LMGI;Andie;Ruxton;8.46
DAM1;LMGI;Latia;Avramchik;0.11
DAM1;LMGI;Liesa;Georgeson;9.47
DAM1;LMGI;Park;Olsson;4.98
DAW1;LMGI;Dannie;Pardy;9.38
DAW1;LMGI;Samantha;Oag;5.89
DAW1;LMGI;West;Caillou;0.85
DAW1;LMGI;Janek;Jozef;2.49
DAW1;LMGI;Carmencita;Penticoot;2.3
DAW1;LMGI;Petra;O'Gorman;9.73
DAW1;LMGI;Chery;Hamber;8.42
DAW1;LMGI;Tobe;Antunes;1.22
DAW1;LMGI;Noemi;Lowe;5.13
DAW1;LMGI;Mallissa;Divisek;1.31
DAW1;LMGI;Gisele;Schimoni;8.95
DAW1;LMGI;Rosemaria;Bartens;0.72
DAW1;LMGI;Myca;Espada;3.39
DAW1;LMGI;Orsola;Lilie;4.44
DAW1;LMGI;Bettye;Gottschalk;3.21
DAW1;LMGI;Norman;Braunston;8.6
DAW1;LMGI;Gianna;Meneyer;2.53
DAW1;LMGI;Rafe;Forty;9.66
DAW1;LMGI;Paige;Danzey;1.84
ASIR1;LMGI;Judy;Lourenco;3.27
ASIR1;LMGI;Kevina;McFetrich;6.28
ASIR1;LMGI;Heidie;Reaper;7.74
ASIR1;LMGI;Ian;Mannering;3.13
ASIR1;LMGI;Bird;Larrat;1.7
ASIR1;LMGI;Goldia;Yakovlev;2.06
ASIR1;LMGI;Elysee;Achromov;8.47
ASIR1;LMGI;Prudence;Hurdedge;9.63
ASIR1;LMGI;Hunter;Riggs;4.66
ASIR1;LMGI;Beniamino;Iffe;0.81
ASIR1;LMGI;Parker;Bignell;8.29
ASIR1;LMGI;Harriet;Eck;0.58
ASIR1;LMGI;Kate;Jovanovic;3.23
ASIR1;LMGI;Kasey;Newsham;8.95
ASIR1;LMGI;Lucita;Bugbird;2.52
ASIR1;LMGI;Bordy;Caston;2.05
ASIR1;LMGI;Kissee;Itzkovitch;8.8
ASIR1;LMGI;Donnell;Fishburn;9.87
ASIR1;LMGI;Marge;Ducker;2.89
ASIR1;LMGI;Lorne;Deely;8.35
DAM1;FOL;Emmet;Cicerone;5.68
DAM1;FOL;Arline;Boice;9.96
DAM1;FOL;Jacynth;Osbaldeston;0.82
DAM1;FOL;Sherwood;Fowler;8.76
DAM1;FOL;Beniamino;Feldmus;2.85
DAM1;FOL;Melessa;Hamper;3.58
DAM1;FOL;Demetris;Sherston;1.7
DAM1;FOL;Myca;Horribine;4.38
DAM1;FOL;Beitris;MacLise;3.75
DAM1;FOL;Fanchon;Yanson;1.48
DAM1;FOL;Kelby;Rings;0.61
DAM1;FOL;Domingo;Shrive;5.9
DAM1;FOL;Augie;Kroger;7.8
DAM1;FOL;Eddie;Gout;3.14
DAM1;FOL;Andie;Ruxton;2.24
DAM1;FOL;Latia;Avramchik;7.86
DAM1;FOL;Liesa;Georgeson;4.45
DAM1;FOL;Park;Olsson;5.94
DAW1;FOL;Dannie;Pardy;0.75
DAW1;FOL;West;Caillou;9.24
DAW1;FOL;Janek;Jozef;7.57
DAW1;FOL;Petra;O'Gorman;1.68
DAW1;FOL;Chery;Hamber;9.6
DAW1;FOL;Tobe;Antunes;8.66
DAW1;FOL;Noemi;Lowe;9.46
DAW1;FOL;Gisele;Schimoni;5.92
DAW1;FOL;Rosemaria;Bartens;5.82
DAW1;FOL;Myca;Espada;8.35
DAW1;FOL;Orsola;Lilie;4.77
DAW1;FOL;Bettye;Gottschalk;2.6
DAW1;FOL;Norman;Braunston;0.17
DAW1;FOL;Gianna;Meneyer;6.3
DAW1;FOL;Rafe;Forty;5.99
DAW1;FOL;Paige;Danzey;7.12
ASIR1;FOL;Judy;Lourenco;3.33
ASIR1;FOL;Kevina;McFetrich;7.69
ASIR1;FOL;Heidie;Reaper;9.77
ASIR1;FOL;Ian;Mannering;2.98
ASIR1;FOL;Bird;Larrat;1.13
ASIR1;FOL;Goldia;Yakovlev;0.84
ASIR1;FOL;Elysee;Achromov;3.03
ASIR1;FOL;Prudence;Hurdedge;9.6
ASIR1;FOL;Beniamino;Iffe;2.73
ASIR1;FOL;Parker;Bignell;5.11
ASIR1;FOL;Harriet;Eck;6.21
ASIR1;FOL;Kasey;Newsham;0.87
ASIR1;FOL;Bordy;Caston;2.57
ASIR1;FOL;Donnell;Fishburn;3.54
ASIR1;FOL;Marge;Ducker;8.24
ASIR1;FOL;Lorne;Deely;5.22
DAM1;ING;Emmet;Cicerone;4.43
DAM1;ING;Ring;Dunbabin;9.41
DAM1;ING;Jacynth;Osbaldeston;0.44
DAM1;ING;Sherwood;Fowler;1.35
DAM1;ING;Beniamino;Feldmus;5.25
DAM1;ING;Melessa;Hamper;0.71
DAM1;ING;Chrysa;Gatecliffe;8.66
DAM1;ING;Demetris;Sherston;7.42
DAM1;ING;Atlanta;Collcott;3.4
DAM1;ING;Beitris;MacLise;9.06
DAM1;ING;Fanchon;Yanson;9.52
DAM1;ING;Domingo;Shrive;7.57
DAM1;ING;Ethelbert;Randleson;7.78
DAM1;ING;Augie;Kroger;1.98
DAM1;ING;Eddie;Gout;0.84
DAM1;ING;Andie;Ruxton;5.21
DAM1;ING;Liesa;Georgeson;1.24
DAM1;ING;Park;Olsson;6.14
DAW1;ING;Dannie;Pardy;6.68
DAW1;ING;Samantha;Oag;6.74
DAW1;ING;West;Caillou;8.81
DAW1;ING;Janek;Jozef;7.81
DAW1;ING;Carmencita;Penticoot;6.43
DAW1;ING;Petra;O'Gorman;6.64
DAW1;ING;Chery;Hamber;3.04
DAW1;ING;Tobe;Antunes;9.89
DAW1;ING;Noemi;Lowe;0.86
DAW1;ING;Gisele;Schimoni;9.13
DAW1;ING;Rosemaria;Bartens;3.07
DAW1;ING;Myca;Espada;8.2
DAW1;ING;Orsola;Lilie;6.51
DAW1;ING;Norman;Braunston;6.56
DAW1;ING;Gianna;Meneyer;2.15
DAW1;ING;Rafe;Forty;2.9
DAW1;ING;Paige;Danzey;10
ASIR1;ING;Kevina;McFetrich;3.22
ASIR1;ING;Heidie;Reaper;0.27
ASIR1;ING;Bird;Larrat;5.65
ASIR1;ING;Goldia;Yakovlev;7.27
ASIR1;ING;Prudence;Hurdedge;9.63
ASIR1;ING;Hunter;Riggs;1.77
ASIR1;ING;Parker;Bignell;1.76
ASIR1;ING;Harriet;Eck;5.67
ASIR1;ING;Kate;Jovanovic;6.42
ASIR1;ING;Kasey;Newsham;3.43
ASIR1;ING;Lucita;Bugbird;3.17
ASIR1;ING;Bordy;Caston;3.98
ASIR1;ING;Kissee;Itzkovitch;6.41
ASIR1;ING;Donnell;Fishburn;7.6
ASIR1;ING;Marge;Ducker;0.84
ASIR1;ING;Lorne;Deely;1.12
DAM1;PROG;Emmet;Cicerone;5.43
DAM1;PROG;Ring;Dunbabin;2.5
DAM1;PROG;Arline;Boice;8.69
DAM1;PROG;Jacynth;Osbaldeston;8.37
DAM1;PROG;Sherwood;Fowler;1.5
